date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | abc
2011-01-03 | 3r534
2011-01-03 | 12.34.56
2011-01-09 | hello123
2012-01-11 | 5gf
2013-01-01 | --5
2014-01-01 | 3.
2015-01-01 | .5
2011-01-03 | 0
2011-01-03 | 0.001
2011-01-03 | 999.99
2011-01-09 | 1000
2012-01-11 | 1000.01
2013-01-01 | -0.01
2011-1-3 | 5
2011/01/03 | 5
20111-01-03 | 5
2011-13-01 | 5
2011-01-32 | 5
2011-00-15 | 5
abcd-ef-gh | 5
2011-01-03 5
2011-01-03: 5
2011-01-03 = 5
2010-12-31 | 1
2011-01-05 | 1
2011-01-08 | 1
2020-01-01 | 1
2011-01-03 | +5
2011-01-03 | -5
2011-01-03 | 5.5.5
2011-01-03 | 
2011-01-03 |
